positive;audio/positive.m4a;ADJECTIVE;tích cực;a positive factor;một nhân tố tích cực
negative;ADJECTIVE;tiêu cực;a negative attitude;một thái độ tiêu cực
student;NOUN;sinh viên;She is a student;Cô ấy là sinh viên
teacher;NOUN;giáo viên;My teacher is kind;Giáo viên của tôi rất tốt
school;NOUN;trường học;I go to school every day;Tôi đi học mỗi ngày
book;NOUN;sách;I read a book;Tôi đọc một cuốn sách
computer;NOUN;máy tính;This computer is fast;Máy tính này rất nhanh
business;NOUN;doanh nghiệp;She runs a business;Cô ấy điều hành doanh nghiệp
management;NOUN;quản trị;Management is important;Quản trị rất quan trọng
marketing;NOUN;tiếp thị;Marketing attracts customers;Tiếp thị thu hút khách hàng
customer;NOUN;khách hàng;The customer is satisfied;Khách hàng hài lòng
supplier;NOUN;nhà cung cấp;The supplier delivers goods;Nhà cung cấp giao hàng
product;NOUN;sản phẩm;This product is popular;Sản phẩm này phổ biến
service;NOUN;dịch vụ;Good service keeps customers;Dịch vụ tốt giữ chân khách hàng
company;NOUN;công ty;The company grows rapidly;Công ty phát triển nhanh
employee;NOUN;nhân viên;The employee works hard;Nhân viên làm việc chăm chỉ
manager;NOUN;quản lý;The manager leads the team;Người quản lý điều hành nhóm
director;NOUN;giám đốc;The director approved the plan;Giám đốc phê duyệt kế hoạch
leader;NOUN;lãnh đạo;A leader inspires people;Người lãnh đạo truyền cảm hứng
team;NOUN;nhóm;The team achieved success;Nhóm đã thành công
meeting;NOUN;cuộc họp;We have a meeting today;Hôm nay chúng tôi có cuộc họp
project;NOUN;dự án;The project is successful;Dự án thành công
plan;NOUN;kế hoạch;We need a good plan;Chúng ta cần một kế hoạch tốt
goal;NOUN;mục tiêu;Our goal is growth;Mục tiêu của chúng tôi là tăng trưởng
strategy;NOUN;chiến lược;The strategy works well;Chiến lược hoạt động hiệu quả
finance;NOUN;tài chính;Finance is important;Tài chính rất quan trọng
investment;NOUN;đầu tư;Investment creates opportunities;Đầu tư tạo cơ hội
profit;NOUN;lợi nhuận;The company made a profit;Công ty có lợi nhuận
loss;NOUN;thua lỗ;The business suffered a loss;Doanh nghiệp bị thua lỗ
budget;NOUN;ngân sách;The budget was approved;Ngân sách đã được phê duyệt
cost;NOUN;chi phí;Production cost increased;Chi phí sản xuất tăng
